ticker,source,registrantName,seriesName,className,expenseRatio,fiscalYearEnd,category,totalNetAssets,investorType,minimumInitialInvestment,wam,wal,reportDate,yield,yieldDate,usTreasuryDebt,usGovernmentAgencyDebt,usGovernmentAgencyCouponDebt,usGovernmentAgencyZeroCouponDebt,nonUSSovereignDebt,certificateofDeposit,nonNegotiableTimeDeposit,variableRateDemandNote,otherMunicipalSecurity,assetBackedCommercialPaper,otherAssetBackedSecurities,usTreasuryRepurchaseAgreement,usGovernmentAgencyRepurchaseAgreement,otherRepurchaseAgreement,insuranceCompanyFundingAgreement,financialCompanyCommercialPaper,nonFinancialCompanyCommercialPaper,tenderOptionBond,otherInstrument,USGO
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",91178113414.69,"Institutional",3000,48,85,"2022-01-31",0.0001,"2022-01-31",0.35031,0.38908,0,0,0,0,0,0,0,0,0,0.26061,0,0,0,0,0,0,0,0.73939
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",91446497459.28,"Institutional",3000,48,85,"2021-12-31",0.0001,"2021-12-31",0.2628,0.39189,0,0,0,0,0,0,0,0,0,0.34531,0,0,0,0,0,0,0,0.65469
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",91870757226.54,"Institutional",3000,42,78,"2021-11-30",0.0001,"2021-11-30",0.23483,0.36284,0,0,0,0,0,0,0,0,0,0.40233,0,0,0,0,0,0,0,0.59767
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",93408255622.85,"Institutional",3000,40,77,"2021-10-31",0.0001,"2021-10-31",0.25072,0.37935,0,0,0,0,0,0,0,0,0,0.36993,0,0,0,0,0,0,0,0.63007
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",93867899857.27,"Institutional",3000,25,68,"2021-09-30",0.0001,"2021-09-30",0.11069,0.39675,0,0,0,0,0,0,0,0,0,0.49255,0,0,0,0,0,0,0,0.50745
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",94919019377.92,"Institutional",3000,29,77,"2021-08-31",0.0001,"2021-08-31",0.26336,0.40426,0,0,0,0,0,0,0,0,0,0.33239,0,0,0,0,0,0,0,0.66761
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",96439760073.48,"Institutional",3000,31,79,"2021-07-31",0.0001,"2021-07-31",0.44509,0.36797,0,0,0,0,0,0,0,0,0,0.18694,0,0,0,0,0,0,0,0.81306
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",89334103857.98,"Institutional",3000,40,95,"2021-06-30",0.0001,"2021-06-30",0.62106,0.30761,0,0,0,0,0,0,0,0,0,0.07133,0,0,0,0,0,0,0,0.92867
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",52005910006.02,"Institutional",3000,55,112,"2021-05-31",0.0001,"2021-05-31",0.66124,0.32708,0,0,0,0,0,0,0,0,0,0.01167,0,0,0,0,0,0,0,0.98833
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",48803851782.89,"Institutional",3000,58,113,"2021-04-30",0.0001,"2021-04-30",0.67304,0.31386,0,0,0,0,0,0,0,0,0,0.0131,0,0,0,0,0,0,0,0.9869
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",47983067619.25,"Institutional",3000,55,113,"2021-03-31",0.0001,"2021-03-31",0.64632,0.35114,0,0,0,0,0,0,0,0,0,0.00253,0,0,0,0,0,0,0,0.99747
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",39942406071.24,"Institutional",3000,58,113,"2021-02-28",0.0001,"2021-02-28",0.64313,0.34601,0,0,0,0,0,0,0,0,0,0.01086,0,0,0,0,0,0,0,0.98914
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",39713750174.03,"Institutional",3000,57,107,"2021-01-31",0.0001,"2021-01-31",0.67406,0.2941,0,0,0,0,0,0,0,0,0,0.03184,0,0,0,0,0,0,0,0.96816
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",38933761473.31,"Institutional",3000,59,109,"2020-12-31",0.0002,"2020-12-31",0.64913,0.30033,0,0,0,0,0,0,0,0,0,0.05054,0,0,0,0,0,0,0,0.94946
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",37707834925.69,"Institutional",3000,54,105,"2020-11-30",0.0003,"2020-11-30",0.66917,0.31118,0,0,0,0,0,0,0,0,0,0.01965,0,0,0,0,0,0,0,0.98035
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",35810766256.87,"Institutional",3000,57,109,"2020-10-31",0.0004,"2020-10-31",0.65066,0.31559,0,0,0,0,0,0,0,0,0,0.03101,0.00275,0,0,0,0,0,0,0.96625
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",33788646897.65,"Institutional",3000,56,102,"2020-09-30",0.0004,"2020-09-30",0.63361,0.31602,0,0,0,0.00048,0,0,0,0,0,0.04472,0.00516,0,0,0,0,0,0,0.94963
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Prime",24338195599.49,"Retail",5000000,56,100,"2020-08-31",0.001,"2020-08-31",0.56906,0.30756,0,0,0,0.0475,0,0.00391,0,0,0,0,0,0,0,0.03268,0.03667,0,0.00262,0.87662
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Prime",24338195599.49,"Retail",3000,56,100,"2020-08-31",0.001,"2020-08-31",0.56906,0.30756,0,0,0,0.0475,0,0.00391,0,0,0,0,0,0,0,0.03268,0.03667,0,0.00262,0.87662
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Prime",20115167696.67,"Retail",5000000,57,102,"2020-07-31",0.0016,"2020-07-31",0.49456,0.26909,0,0,0,0.08764,0,0.00582,0,0,0,0,0,0,0,0.07185,0.06834,0,0.0027,0.76365
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Prime",20281392415.01,"Retail",5000000,52,83,"2020-06-30",0.0025,"2020-06-30",0.50545,0.10743,0,0,0,0.15159,0,0.00717,0,0,0,0,0,0,0,0.14033,0.08469,0,0.00333,0.61288
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Prime",20206143087.37,"Retail",5000000,54,64,"2020-05-31",0.004,"2020-05-31",0.48661,0.00182,0,0,0,0.20069,0,0.00737,0,0,0,0,0,0,0,0.20294,0.09578,0,0.00479,0.48843
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Prime",19651967059.31,"Retail",5000000,53,69,"2020-04-30",0.0071,"2020-04-30",0.39382,0.03475,0,0,0,0.24341,0,0.00818,0,0,0,0,0,0,0,0.23032,0.08025,0,0.00927,0.42857
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Prime",18660533673.29,"Retail",5000000,49,72,"2020-03-31",0.0114,"2020-03-31",0.34045,0.06167,0,0,0,0.24334,0,0.00813,0,0,0,0.00399,0,0,0,0.24452,0.08614,0,0.01175,0.40213
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Prime",20400593936.02,"Retail",5000000,37,69,"2020-02-29",0.0166,"2020-02-29",0.28107,0.02508,0,0,0,0.34387,0,0.00005,0,0,0,0,0,0,0,0.27527,0.06272,0,0.01195,0.30615
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Prime",19973534485.56,"Retail",5000000,36,74,"2020-01-31",0.0171,"2020-01-31",0.23387,0.0919,0,0,0,0.3236,0,0.00005,0,0,0,0.00155,0,0,0,0.30334,0.03363,0,0.01204,0.32577
