asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,nav,aum,twelveMonTrlYield,yieldToWorst,yieldToMaturity,distributionYield,weightedAverageCoupon,durationYears,maturityYears,expenseRatio,accountType,source
"2026-04-23","VTEC",,,0.0323,100.1,2300000000,,0.0327,,0.0315,0.0444,6.6,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-04-24","VTEC",,,0.0323,99.97,2300000000,,0.0328,,0.0315,0.0442,6.6,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-04-27","VTEC",,,0.0322,99.8,2300000000,,0.0328,,0.0315,0.0442,6.6,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-04-28","VTEC",,,0.0321,99.8,2300000000,,0.0334,,0.0315,0.0447,6.6,12.9,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-04-29","VTEC",,,0.0322,99.53,2300000000,,0.0334,,0.0315,0.0447,6.6,12.9,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-04-30","VTEC",,,0.0322,99.46,2300000000,,0.0337,,0.0315,0.0445,6.7,12.9,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-05-01","VTEC",,,0.0322,99.51,2400000000,,0.0335,,0.0315,0.0441,6.7,12.9,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-05-04","VTEC",,,0.0323,99.66,2400000000,,0.0335,,0.0315,0.0441,6.7,12.9,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-05-05","VTEC",,,0.0323,99.66,2400000000,,0.0336,,0.0315,0.0441,6.7,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-05-06","VTEC",,,0.0323,99.69,2400000000,,0.0334,,0.0317,0.0439,6.6,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-05-07","VTEC",,,0.0323,99.7,2400000000,,0.0335,,0.0317,0.0443,6.7,12.9,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-05-08","VTEC",,,0.0323,99.69,2400000000,,0.0336,,0.0317,0.0444,6.7,12.9,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-05-11","VTEC",,,0.0323,99.36,2400000000,,0.0334,,0.0317,0.0442,6.7,12.9,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-05-12","VTEC",,,0.0324,99.36,2400000000,,0.0334,,0.0317,0.0442,6.7,12.9,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-05-13","VTEC",,,0.0325,99.37,2400000000,,0.0338,,0.0317,0.0441,6.6,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-05-14","VTEC",,,0.0326,98.88,2400000000,,0.0341,,0.0317,0.0442,6.7,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-05-15","VTEC",,,0.0326,98.66,2400000000,,0.0347,,0.0317,0.0439,6.7,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-05-18","VTEC",,,0.0328,98.66,2400000000,,0.0347,,0.0317,0.0439,6.7,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-05-19","VTEC",,,0.0329,98.78,2400000000,,0.0346,,0.0317,0.0439,6.7,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-05-20","VTEC",,,0.0331,98.79,2400000000,,0.0349,,0.0317,0.0438,6.7,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-05-21","VTEC",,,0.0331,98.85,2400000000,,0.0347,,0.0317,0.0438,6.7,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-05-22","VTEC",,,0.0331,99.53,2400000000,,0.0348,,0.0317,0.0439,6.7,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-05-26","VTEC",,,0.0331,99.53,2400000000,,0.0347,,0.0317,0.0438,6.7,12.7,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-05-27","VTEC",,,0.0331,99.92,2400000000,,0.034,,0.0317,0.0438,6.6,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-05-28","VTEC",,,0.033,99.68,2400000000,,0.0336,,0.0317,0.0437,6.6,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-05-29","VTEC",,,0.033,99.85,2400000000,,0.0336,,0.0317,0.0441,6.6,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-06-01","VTEC",,,0.0329,99.84,2600000000,,0.033,,0.0317,0.0438,6.6,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-06-02","VTEC",,,0.0329,99.84,2600000000,,0.033,,0.0317,0.0438,6.6,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-06-03","VTEC",,,0.0329,99.94,2600000000,,0.0329,,0.0317,0.044,6.7,12.9,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-06-04","VTEC",,,0.0329,99.84,2600000000,,0.0329,,0.0305,0.044,6.6,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-06-05","VTEC",,,0.0328,99.87,2600000000,,0.0328,,0.0305,0.0442,6.6,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-06-08","VTEC",,,0.0328,99.93,2600000000,,0.033,,0.0305,0.0441,6.6,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-06-09","VTEC",,,0.0328,99.83,2600000000,,0.0329,,0.0305,0.0441,6.6,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-06-12","VTEC",,,0.0328,99.94,2600000000,,0.0332,,0.0305,0.0442,6.6,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-06-15","VTEC",,,0.0328,100.06,2600000000,,0.033,,0.0305,0.0439,6.6,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-06-17","VTEC",,,0.0326,100.12,2600000000,,0.0328,,0.0305,0.044,6.6,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-06-18","VTEC",,,0.0325,100.1,2600000000,,0.0329,,0.0305,0.0442,6.6,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-07-07","VTEC",,,0.032,99.93,2800000000,,,,,,6.6,6.6,0.0006,"Vanguard California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-07-08","VTEC",,,0.0321,99.93,2800000000,,,,,,6.5,6.5,0.0006,"Vanguard California Tax-Exempt Bond ETF","advisors.vanguard.com"
